platform,what,details,key,platformValue
,Development Tips:C#,". If you ever encounter ""Cannot implicitly convert type 'int?' to 'int'. An explicit conversion exists (are you missing a cast?)"" compilation error, you just need to cast the variable e.g.
int k = (int)j;",,
,caDSR Data Element Concept (DEC):What,"Person (Object Class) + Name (Property) = Data Element Concept (DEC)

Deceased (Qualifier) Person (Object Class) + Last (Qualifier) Name (Property) = Data Element Concept (DEC)",,
,caDSR Data Element (DE):What,". The Data Element is formed from a Data Element Concept and a Value Domain.
. The Data Element Concept and the Value Domain must be in the right order so that the intended meaning is achieved.
. Rearranging the order of the terms within a Data Element Concept or a Value Domain will also result in a different Data Element.
. e.g.
(Person (Object Class) + Address (Property))=DEC + Postal Code (Representation)=VD ---> Person Address Postal Code (DE)",,
,Highest Resolution:Android,Nexus 7 Tablet = 1280 x 800 (HD),,
,Highest Resolution:iOS,iPad 3 = 2048 x 1536,,
,Checkbox:Android,"Pre-ICS = Checkbox

ICS and above = Switch",,
,Themes:Android,Holo - Honeycomb and beyond,,
,Menu:Android,"Pre-HC = Options Menu

HC+ = Action Overflow",,
,Button:Android,"Button order changes (+ = Ok, - = No):

pre-ICS
+ 0 -

post-ICS
- 0 +",,
,Deployment Tips 2:Android,"Always use these in the manifest file -

android:minSdkVersion - what the version your app require

android:targetAdkVersion - should always be the latest Sdk (to get Action Bar, hardware acceleration etc)",,
,Development Tips 1:Android,"Announced in Google I/O 2012 6/28:

. Always use ""Preview All Screen Sizes"" and ""Preview All Locales"" (if relevant) for UI design in DDMS
. Use ""Lint Warnings"" view for better development insight like with target API allowed, missing permission in XML (with Quick Fix) etc
. More new tools i.e.
a. New ""Device Monitor"" which includes
-DDMS
-Traceview
-HierachyViewer
-""Tracer for OpenGL ES"" (New)

b. New ""Systrace""

c. NDK support in Eclipse

. Library Project (binary sharing code)",,
,Development Tips 2:Android,". Try to use libs/ folder (not individually adding jar using conventional Eclipse approach)
. Use BuildConfig.java (currently only DEBUG flag)
. onSensorChanged - check the sensor type first before handling the event to avoid false triggering; also one can use two sensors for the same purpose",,
,Bluetooth:What,"R2CAP low level Bluetooth
SDP
RFCOMM
A2DP",,
,Audio 3:Android,". Use MediaRecorder (API 1, Android 1+) for regular audio recording
. Use AudioRecord (API 3, Android 1.5+) for low level audio signal processing
. Normal human hearing range 20 Hz to 20 kHz
. All Android device supports 44.1 kHz sampling rate, need to sample > 2 * the highest frequency of your signal to avoid aliasing
",,
,Accessibilty 1:Android,". Android View's with input focus (focusable) or clickable is Section 508 (US) compliant by default
. Use default widget if possible, if not add content description to your component (so that a tool that read it out loud for instance)
. Starting from ICS (4.0), accessibility spanned onto touch event too e.g.
MyDelegate extends AccessibiltyDelegateCompat {
...
viewCompat.setAccessibilityDelegate(myView, new MyDelegate());",,
,Accessibilty 2:Android,". Install latest ADT, use lint --check Accessibilty
. For lint, if you would like to purposely suppress image with no text's warning, use android:contentDescription=""@null""",,
,HTML 5:With,". CSS Flexbox
. Dynamic CSS (calc() method)
. Data binding (attr for one way data binding no need angularjs)
. File IO (Filesystem API) - c.f. filer.js and idb.filesystem.js projects
. download attribute no server involved
. Transferable object (Chrome only)
. Device API e.g.
<input type=text x-webkit-speech>
navigator.getUserMedia with video tag - for audio/video capturing
. Web Audio API with audio tag
. Websocket audio streaming 
",,
,Top Issues:Android,"1. Null pointer exception (NPE)
2. Out of memory",,
,Resource:Java,"Standard way 

private static final String BUNDLE_NAME = ""gov.nih.nci.cadsr.cadsrpasswordchange.core.messages"";

ResourceBundle.getBundle(BUNDLE_NAME);
...
String value = RESOURCE_BUNDLE.getString(key);

But it seems like it might not work consistently across app server. For instance, JBoss 4.0.5 GA does not recognize the package name and the file (messages.properties in this case) need to be in WEB-INF/classes",,
,Update Now:MySQL,"DEFAULT CURRENT_TIMESTAMP and ON UPDATE CURRENT_TIMESTAMP

e.g.

create table p (
 id int,
 a varchar(10),
 d timestamp DEFAULT CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,
 constraint p_pk primary key (id)
);",,
,Update Now:Oracle,"Use Trigger e.g.

SQL> host cat p_test.sql
CREATE OR REPLACE TRIGGER p_d_trig
BEFORE UPDATE ON p
FOR EACH ROW
BEGIN
        select sysdate into :new.d from dual;
END p_d_trig;
/

SQL> @p_test

Trigger created.

http://halisway.blogspot.com/2007/11/converting-mysql-on-update.html",,
,IDE:Blackberry,WebWorks,,
,PhoneGap:Tools,". Droidgap - to create a project (Eclipse) quickly targeting Android
. PhoneGap Build - cloud based service to deal with multiple project configuration issues that PhoneGap has; free for one app, single icon and splash screen except iOS and unified look and feel (you have to fallback to native sdk if you want platform specific)
. Third party tools e.g.

RIM Ripple Emulator (RMEE) - Google Chrome extension based
Web Inspector Remote (Weinre)",,
,jQueryMobile:Ready,"$(document).ready( function() {
...

or

jQuery(document).ready( function() {
...",,
,PhoneGap:Ready,"You can not call PhoneGap API before it is ready. Thus you need to wait for it to be ready, say in HTML body load event e.g.

document.addEventListener(""deviceready"", onDeviceReady, false);

function onDeviceReady() {
 alert(""PhoneGap (version "" + device.phonegap + "") "" + device.platform + "" "" + device.name + "" "" + device.platform + "" "" + device.version);
 ...",,
,Simple Dialog:PhoneGap,"navigator.notification.alert(""PhoneGap is here!""); //does not seem to work in Blackberry (June 2012)

or

WebKit's global object, console e.g.

try {
 ...
} catch(e) {
 console.log(""message"", e.message);
 //console.warn(""message""); //does not seem to work in Blackberry
 //console.error(""message""); //does not seem to work in Blackberry
}",,
,Log:Blackberry,". In simulator, access the log by Alt + typing lglg. Use n (next) and p (previous) keys to navigate

. Use javaloader.exe to copy the logs from the device",,
,Limitation:PhoneGap,". API consistency
. Multiple JavaScript files (some platforms have (had?) different name!)
. Web content folder structure (e.g. framework/www)
. Application requirements e.g. json2.js (on iOS)
. UI (PhoneGap does not deal with UI)
. Application icons (due to differing themes by various carriers)",,
,API:PhoneGap,"There are 13 categories -

. Accelerometer
. Camera (image)
. Capture (audio, video and image)
. Compass
. Connection (2G, 3G, 4G, Ethernet, None, Unknown and WIFI)
. Contacts
. Device
. Events
. File
. Geolocation
. Media (audio, some overlap with Capture, to be phazed out?)
. Notification
. Storage (W3C localStorage and SQL database)",,
,Development Tips:HTML 5,". Forget about appcache, websql or localstorage, start to use indexdb and use lawnchair
. If you want alternative to lawnchair, check out persistJS",,
,Device API:With,". WAC, Webinos (which was BONDI?)
. PhoneGap (which became Apache Cordova)
. W3C DAP and Widget
. Mozilla WebAPI",,
,Remember HTML Form:Java,"In Java:
				req.getRequestDispatcher(""/your_url"").forward(req, resp);

In JSP:

<input id=""Answer1"" type=""text"" name=""answer1"" value=""${param.answer1}"" style=""width: 3.75in"" class=""std"" autocomplete=""off"">

http://stackoverflow.com/questions/1055308/retaining-the-submitted-jsp-form-data",,
,Fixed Background:HTML,"<style type=""text/css"">

body { background-attachment: fixed; background-repeat: no-repeat; background-position: center center; } 

</style>

http://forums.devshed.com/html-programming-1/making-a-background-image-stay-214105.html",,
,Production Version:Android,Android 3.2 (API level 13),,
,Base Class:Android,Object (Implied),160,
,Device Runtime:Android,Dalvik VM,157,
,Compiler Directive:Android,None,162,
,Named Parameter:Android,None,156,
,Custom Gesture:Android,Yes,159,
,Base Class Method Inherited:Android,"hashCode, equals, toString",161,
,Production Version:WP7,7.1,164,
,Memory Management:Android,Garbage Collected,155,
,Device Runtime:WP7,Silverlight or XNA (Game),163,
,Multiple Inheritence:iOS,None (can be supported using protocol),224,
,Multiple Inheritence:Android,None (supported with interface),225,
,Closures:Android,None (closest is like Java Generic types),223,
,IDE Concepts:iOS,". Group is directory in XCode

. Connections can be made between UI control and the source using IBAction or IBOutlet",218,
,IDE Shortcuts:iOS,"""Option + Click = class
Cmd + Shift + F = search in workspace""",219,
,IDE Shortcut:Android,"Ctrl + Shift + T = Search Type/Class
Ctrl + Shift + G = Find Usages",,
,UI Design:iOS,Tool (IB) or code,227,
,Multimedia:iOS,scigrpservice.appspot.com/go?s=iosmultimedia,221,
,Relative Path:iOS,[NSBundle mainBundle],226,
,Closures:iOS,scigrpservice.appspot.com/go?s=iosblocks,222,
,Most Common Event:iOS,"UITouch
UIEvent",55,
,Common DB:iOS,SQLite,58,
,Common ORM:iOS,CoreData,57,
,Core MVC:iOS,"TClass, TViewController and TAppDelegate (can be specified either in main(), .xib file or in the protocol of a class header)

The .xib (or previously known as .nib) is always associated with a single/specific view controller and can not be used/accessible from other view controller(s)",,
,Popover:iOS,UIPopoverView (iPad only),63,
,Controllers:iOS,"Table view
Detail view
Split view
Popover view
Modal view",61,
,Core Framework:iOS,"UIKit (Cocoa Touch), Foundation and CoreGraphics (""Frameworks"" already installed on the device itself)",59,
,SplitView:iOS,UISplitView (iPad only),62,
,Common Methods:iOS,"viewDidLoad
didFinishLaunchingWithOptions
didSelectRowAtIndexPath
",,
,Native UI Builder:iOS,Interface Builder (UI design and making connections to the codes),56,
,Memory Management:Tapestry,Garbage Collected,130,
,Flexible Pager:Wicket,"<div wicket:id=""navigator""></div>",128,
,Namespace:Wicket,Java Package,125,
,Device Runtime:HTML5,WebKit,133,
,Production Version:HTML5,1,134,
,Flexible Pager:Tapestry,"t:type=""grid"" pagerPosition=""both""",132,
,Production Version:Wicket,1.4,127,
,Namespace:Tapestry,Java Package,129,
,Memory Management:Wicket,Garbage Collected,126,
,Production Version:Tapestry,5.2,131,
,Launch:iOS Web,main.js/main.html,,
,Production Version:iOS Web,3.0.2,234,
,UI Design:Android,XML file,228,
,Most Common UI:iOS Web,"Widget
WebApp",232,
,Search:iOS Web,Search Field,235,
,Native UI Builder:iOS Web,Dashcode itself,233,
,Most Common Event:iOS Web,"onClick, onLoad, etc. (Javascript events)",231,
,Self Reference:iOS Web,this,236,
,Submit Button Color:iOS,"Blue (iOS4), Green (iOS5)",229,
,Gestures:iOS Web,"Click
Mouseover
Double Click
Hover
",230,
,Core MVC:Android,"Intent - an identifier to communicate purpose on the ensuing activity; can be an action name specified in android manifest file or the class name of Activity class (preferred)

Activity - a  view container class (extends Activity) - controller that own view(s)

View - view is set by setContentView() in an activity class, e.g. setContentView(R.layout.main)  which will force the runtime to look for a view defined in res/layout/main.xml resource file

Service and Component",,
,Home Screen:Android,App Widgets,90,
,Value Proposition:WP7,Live Tiles,91,
,Controllers:Android,"ListView
FrameLayout
LinearLayout
TableLayout
RelativeLayout",85,
,Home Screen:WP7,Live Tiles,93,
,Advanced:Android,"Make phone call
Send SMS text
Access accelerometer
Install application from Market
Camera
Microphone
",89,
,Gestures:Android,"Tap
Touch and Hold
Double Tap
Swipe
Flick
Drag
Pinch",88,
,Most Common UI:WP7,Tiles,92,
,SplitView:Android,"Not available, but can be with Fragments",86,
,Popover:Android,Dialogue box with transparent background,87,
,Error:iOS,"""unrecognized selector sent to instance"" e.g.

2011-08-30 13:51:28.905 VideoBrowser[27268:207] *** Terminating app due to uncaught exception 'NSInvalidArgumentException', reason: '-[CustomMoviePlayerViewController setVideoFrame:]: unrecognized selector sent to instance 0x5b27b10'
*** Call stack at first throw:

It means the method does not exist!

",241,
,Layout:iOS,Interface Builder (T.nib (legacy)/T.xib) or using Objective-C,,
,IDE Concepts:Android,"While there is no advanced tool based connection mapping between source codes and UI controls like iOS, Android's approach is to use specially notation known as @id+ to refer to a control in main.xml. To respond to UI events, one has to add a Java class to be the event (whatever that is like onClick) listener.",,
,Layout:Android,"Resource types (first 3 directories are created automatically in Android project's res/) -

drawable/
layout/ (e.g. main.xml)
values/ (e.g. strings.xml)
raw/ (e.g. logoSound.mp3)
xml/

Accessed via (in AndroidManifest.xml) -

@ followed by type
@+id

e.g. setContentView(R.layout.main) or setContentView(R.id.main)",,
,Handle UI Event:iOS,IBAction,,
,Full Exception:Java,"	public static String toString(Exception e) {
		StringWriter sw = new StringWriter();
		PrintWriter pw = new PrintWriter(sw);

		e.printStackTrace(pw);

		return sw.toString();
	}",240,
,Policy 1:Android,"AndroidManifest.xml (granting request access to network, camera, contacts etc) e.g.

android.permission.INTERNET",,
,Access to UI Control:Android,"In a button tag inside main.xml:
...
android:id=""""@+id/bAdd""""

In Android Java:
import android.widget.Button;
...
Button button = (Button)findViewById(R.id.bAdd);

All controls are considered view in Android, accessible by findViewById. findViewById's id is always in the context of the view set by setContentView (for otherwise, cf. http://stackoverflow.com/questions/5882064/how-to-make-a-single-view-globally-accessible)",,
,Value Proposition:iOS Web,Web Apps for iOS/Widgets for OS X,238,
,Access to UI Control:iOS,"Connection between the attribute of the UI controls and their corresponding IBOutlet.

IBOutlet variables have a one-to-one relationship with objects in interface builder. You will have to have another variable if you need to connect more than one.",,
Code,Screen orientation:iOS,https://catch.com/m/BuVEc/BrPDz7BE86X,5,
,Value Proposition:Tapestry,Out of box CRUD,21,
,Value Proposition:Wicket,Everything is Java,15,
,Start:Wicket,T extends WebApplication,16,
,Main Concepts:Tapestry,"Components
Pages
Services
Mixins
Model",19,
,High Level Unit Test:Wicket,Wicket Tester,18,
,Automatic Accessors:Tapestry,@Property in Tapestry page,23,
,Start:Tapestry,"app.services.
AppModule",22,
Java,Redirection:Java,"What is the difference between RequestDispatcher's forward(ServletRequest request, ServletResponse response) method and HttpServletResponse's sendRedirect(String location) method?

http://www.jguru.com/faq/view.jsp?EID=1310997",10,
,Common ORM:Wicket,Hibernate,17,
,Production Version:JQueryMobile,1.0 Beta,136,
,Chromeless Window:iOS,UIWindow,140,
,Window Display Method:iOS,UIWindow makeKeyAndVisible,141,
,Design Patterns Used:iOS,"MVC, 
Delegation, 
Target-Action, 
Managed Memory Model",138,
,Application Context:JQueryMobile,navigator,137,
,Application Context:HTML5,navigator,135,
,Memory Management:iOS,"Manual (alloc/release) e.g.

	if (_detailItem != managedObject) {
		[_detailItem release];
		_detailItem = [managedObject retain];
...",,
,Main View Class:iOS,"UIWindow - parent/top level window
UIView - any other window (generally reside inside UIWindow)

In iOS, windows do not have title bars, close boxes, or any other visual adornments. A window is always just a blank container for one or more views. Also, applications do not change their content by showing new windows.

In MacOS X, NSWindows are not views. They contain a ""root view"", called the contentView. iOS windows are a composition of NSWindow + its root view.",,
,Namespace:iOS,"None (relying on the initials of each Class e.g. UIView, NSString etc)",142,
,Named Parameter:iOS,None (: is part of the method name),144,
,Foreground Notification:iOS,"Modal dialog (iOS4), notification type (iOS5)",210,
,Development Mode:Wicket,getResourceSettings().setResourcePollFrequency(Duration.ONE_SECOND) (.html only),208,
,IDE:Android,Eclipse,214,
,IDE:GoogleTV,Eclipse,215,
,Background Notification:iOS,Status Bar (iOS 5 only),209,
,IDE:iOS,XCode,213,
,Main Container:iOS,Window (e.g. MainWindow.xib),211,
,IDE:FiOSTV,Iris,217,
,IDE:iOS Web,Dashcode,216,
,Device Persistence:HTML,"With
localStorage.setItem('variable_name',variable_value); you can save in local storage your variables.
with
variable_value = localStorage.getItem('variable_name'); you can get variable value",271,
,Native Interface:PhoneGap,". Between Objective-C and web, use SQLite
. Works with Honeycomb

",,
,Method:PhoneGap,JavaScript style,96,
,Launch:PhoneGap,www/index.html,,
,Most Common UI:PhoneGap,<table>/<div>,98,
,Default Constructor:Titanium,Titanium.UI.createWindow({ }),102,
,Start:Titanium,app.js,101,
,Method With Parameters:PhoneGap,object.method,97,
,Value Proposition:PhoneGap,". Most matured hybrid platform

. Others -

Titanium Application

AT&T Workbench (http://www.wireless.att.com/businesscenter/solutions/industry-solutions/att-mobile-enterprise-applications-platform.jsp)

Antenna Volt (http://www.antennasoftware.com/resources/volt)

Blackberry Webworks

Strobe (strobecorp.com)

Tiggr (tiggzi.com)

Worklight (worklight.com, IBM)",,
,Method:Titanium,JavaScript style,103,
,Native UI Builder:PhoneGap,"HTML UI applications (Dreamweaver, etc)",99,
,Core Framework:PhoneGap,HTML/JavaScript,100,
,App Store Limit:iOS,. Up to 20 MB in size,,
,Top Bar:Android,"Status Bar

Note: This  bar is merged into the bottom bar becoming System Bar in Android 4.0",,
,Screen Abstraction:GoogleTV,720p or 1080p,207,
,Multiple Target:Android,"Multiple APK (useful for cases in which your app cannot reach all desired devices with a single APK, not a preferred approach)",197,
,Prototyping:Android,None,203,
,Multiple Target:GoogleTV,Intel Atom (x86) and ARM,204,
,Prototyping:iOS,"Categories/""@interface T (PrivateMethods)"" (Objective-C 2.0+ and method only)",196,
,Programmatic Channel Control:GoogleTV,Yes,205,
,App Store Limit:Android,". Android Market limit an APK to 50 MB
. Your package name must be unique otherwise you will not be able to upload it",202,
,EPG:GoogleTV,No,206,
,Start:JQueryMobile,document.ready(),34,
,Common DB:JQueryMobile,WebSQL,37,
,Default Constructor:iOS,[[T alloc]init],,
,Start:iOS,"main.m, MainWindow.xib, XCode Main Interface/Info.plist, applicationDidFinishLaunching: method",41,
,Main Navigation:jQueryMobile,"Nested list or adding rel=""external"" into href a tag.

In the case of nested list, in order for the title of the nested child list to pick up the header of the parent, the title say with h3 tag, has to be at the first line of the parent.",,
,Value Proposition:iOS,iPad is the market leader on tablet,40,
,Main Concepts:iOS,"View (UI)
View Controller (workflow)
App Delegate (custom codes)
Class (main reuse, optional)",39,
,Automatic Accessors:iOS,@property in T.h @synthesize in T.m,43,
,Most Common UI:JQueryMobile,"<ul data-role=""listview"">",35,
,Core Framework:JQueryMobile,JQuery,38,
,Class Level Method:Android,static,78,
,Method Parameter Check:Android,Compile time,77,
,Instance Level Method:Android,N/A,79,
,Self Reference:Android,this (implicit),76,
,Common DB:Android,SQLite,83,
,Native UI Builder:Android,App Inventor (recently open sourced as at 8/2011),82,
,Cell Accessory:Android,"Image: ImageView alligned right, text alligned left (Vice versa)",75,
,Most Common Event:Android,"onClick
onTouch
onSensorChanged - check the sensor type first",,
,Main Navigation:Android,"Invoke finish() in any Activity's method. This will bring the screen back to the previous Activity, if any.",,
,Object Dump:Android,"System.out.println(""T: "" + T)",80,
,Start:GoogleTV,index html,109,
,Self Reference:Titanium,this,105,
,Start:FiOSTV,lua_onLoad(),112,
,Home Screen:GoogleTV,App Widgets,111,
,Native UI Builder:Titanium,"None available.

Forced to do it programmatically ",106,
,Most Common Method:FiOSTV,"lua_onKey(nKeyCode, nKeyType, nKeyState)",113,
,Most Common UI:Titanium,Window,104,
,Core Framework:Titanium,Javascript,108,
,Common DB:Titanium,SQLite,107,
,Main Navigation:GoogleTV,tabGroup.open();,110,
,Flash Notification:Tapestry,Transient Alerts component of AlertManager,182,
,Packaging:Wicket,web.xml,180,
,Flash Notification:GoogleTV,Toast Notification,177,
,Search:GoogleTV,Search dialog and SearchView widget delivers search queries to a specific activity that performs searches,176,
,Background Notification:GoogleTV,Status Bar Notification,178,
,Packaging:GoogleTV,AndroidManifest.xml,175,
,Foreground Notification:GoogleTV,Dialog Notification,179,
,Form Spam Detection:Tapestry,Kaptcha / KaptchaField,183,
,Screen Abstraction:iOS,Point instead of raw pixel (e.g. 1 point in iPad is 2 x 1 pixel on iPhone 4),184,
,Packaging:Tapestry,web.xml,181,
,Segmented UI:jQueryMobile,Layout view,266,
,Text Input Hint:HTML,"<input placeholder=""value"" />",270,
,Filtered List:jQueryMobile,"data-filter=""true""

e.g.

<ul id=""mylist"" data-role=""listview"" data-filter=""true"" data-split-theme=""c"">",,
,Filtered List:Android,yes,,
,Segmented UI:iOS,UISegmentedControl,265,
,Text Input Hint:Android,EditText android:hint,269,
,Main Concepts:jQueryMobile,"jQueryMobile (jqm) is the coolest framework I have seen. Using just data-role as an attribute in DOM element like div, ul etc, one can magically transform existing web portal into mobile friendly portal. E.g. (tags not shown)

data-role=page
data-role=header

data-role=content

An option to selectively skip the transformation is also available using data-role=""none"".",,
,Dismiss a View:jQueryMobile,"Please note that sequence of adding library does matter here.

<script src=""/javascript/jquery.min.js""></script>
<script type=""text/javascript"">
    $(document).bind(""mobileinit"", function(){
        $.mobile.page.prototype.options.addBackBtn= true;
    });
</script>
<script src=""javascript/jquery.mobile.js"">
</script>

",261,
,List Handler:Android,onListItemClick() which has a parameter int position as one of its 4 parameters.,268,
,Most Common UI:iOS,"UITableView
UIView's CollageView",46,
,Method Parameter Check:iOS,Run time,50,
,Instance Level Method:iOS,-,52,
,Class Level Method:iOS,+,51,
,Method With Paramaters:iOS,"[[T alloc] initWithParameters:@""ViewController1"" bundle:nil]",,
,Cell Accessory:iOS,"Disclosure Indicator - the usual right arrow
Detail disclosure button
Check mark",48,
,Object Dump:iOS,"NSLog(@""T: %@"", T)",53,
,Main Navigation:iOS,UINavigationController pushViewController,47,
CODE,Self Reference:iOS,"self (not implicit; has to specify it even if the codes is in the class itself).

Exception seems like in the if(self = [super init]) { ...",49,CODE
,Method:iOS,"[T method:arg1] Objective-C style

function(arg1) typical C style",,
,Custom Gesture:iOS,Yes,147,
,Compiler Directive:iOS,@ (e.g. @interface),150,
,Namespace:Android,Java Package,154,
,Application Context:iOS,UIApplication,151,
,Production Version:iOS,"4.3, 5.0 Beta 6",146,
,Device Runtime:iOS,Native iOS,145,
,Base Class Method Inherited:iOS,init,149,
,Network Class:iOS,NSURLConnection,153,
,Preprocessor Directive:iOS,# (e.g. #import),152,
,Base Class:iOS,NSObject (Optional),148,
,Home Screen:FiOSTV,IMG,114,
,High Level Unit Test:Tapestry,Page Tester,118,
,Import:iOS,"In main.m -

#import <UIKit/UIKit.h>

There is no need to import the Foundation framework, as it is already included by UIKit.",122,
,Main Concepts:Wicket,Java object represented as wicket:id in html; each T.java file has a corresponding T.html file,117,
,Forward Declaration:iOS,@protocol (for class that implement certain Frameworks protocol) and @class (for others),124,
,Streaming:iOS,"http://mobile.tutsplus.com/tutorials/iphone/iphone-sdk-playing-video-with-the-mediaplayer-framework/

-(void)initAndPlayMovie:(NSURL *)movieURL
{
    // Initialize a movie player object with the specified URL
       MPMoviePlayerController *mp = [[MPMoviePlayerController alloc] initWithContentURL:movieURL];
       if (mp)
       {
           [self.moviePlayer play];
       }
}",116,
,Split View:iOS,UISplitViewController (iPad only),,
CODE,DSL,"Domain Specific Language

a. Internal DSL e.g. Scala, Ruby On Rails (ROR), Ruby etc.
b. External DSL e.g. Spring, ANT, Maven etc.",115,CODE
,Split View:Android,"No exact equivalence, but can be easily implemented using Fragment?

Fragment is avaiable on Android 3.0 (API  11) or above only.

public View onCreateView(",,
,iOS:Protocol,"@interface className : superclassName <delegateProtocolClassName> e.g.

    @interface WorkbenchAppDelegate : NSObject <UIApplicationDelegate>

Generally followed by delegate assignment e.g.

    scrollView.delegate = self;

which is important, otherwise it won't work",,
,Bottom Bar:iOS,"Tab Bar

http://developer.apple.com/library/ios/#documentation/userexperience/conceptual/mobilehig/UIElementGuidelines/UIElementGuidelines.html%23//apple_ref/doc/uid/TP40006556-CH13-SW52",,
,Main View Class:Wicket,WebPage,187,
,Main View Class:Tapestry,App Package/Pages,188,
,Action Bar:iOS,"iOS does not really have equivalence for this, the closest is View controller's navigation bar",190,
,Action Bar:Android,"User/application level bar (Honeycomb 3.0 or above only)

It is ""the new Home within the application""

Click Action Bar's Home, will lead the app the start/home of the app, not the home (screen) of the Android

Context sensitive within the app

Pre-HC, AppCompat library",,
,Main View Class:HTML 5,HTML DOM (Document Object Model),189,
,Search:iOS,". @interface XXX : UITableViewController <NSFetchedResultsControllerDelegate, UISearchBarDelegate, UISearchDisplayDelegate> {

. Implement search logics mainly with NSPredicate predicateWithFormat e.g.

NSPredicate *pred = [NSPredicate predicateWithFormat:@""(title contains %@) OR (desc contains %@)"", searchText, searchText];",,
,Top Bar:iOS,Status Bar (UIApplication),193,
,Screen Abstraction:Android,"Density-independent pixel (dp) - for UI layout
Scale-independent pixel (sp) - for text

Instead of using pixel (px), use density pixel (dp) to support multitude of Android phones with various screen resolutions and sizes.

1 dp is a unit in term of 160 dpi. Thus, 1 dp is two pixels in a screen of 320 dpi resolution.

Also for Android 3.2 or above, please see http://developer.android.com/guide/practices/screens_support.html#DeclaringTabletLayouts",,
,Multiple Target:iOS,Universal App (iPhone and iPad),192,
,Object Dump:HTML5,console.log,31,
,Start:HTML5,index html,29,
,Common ORM:Tapestry,Hibernate,25,
,Most Common UI:HTML5,"<table>
<div>
",30,
,Value Proposition:HTML5,"Everyone believes in it, easier on hardware than competitors",28,
,Value Proposition:JQueryMobile,Turn your existing web app into mobile app easily,33,
,Most Common UI:Tapestry,"t:type=""grid""
t:type=""beaneditform""",24,
,Common DB:HTML5,Local Storage,32,
,Core IoC:Tapestry,Tapestry IoC,27,
,Gestures:iOS,"Tap
Touch and Hold
Double Tap
Swipe
Flick
Drag
Pinch",64,
,Home Screen:iOS,Static icon only,66,
,Most Common UI:Android,"ListView
TextView
EditText
Button
ScrollView",,
,Default Constructor:Android,new T(),,
,Start:Android,"A filter in AndroidManifest.xml file with ""android.intent.action.MAIN"" and ""android.intent.category.LAUNCHER"" settings advertises an activity as one that initiates an application e.g.

<activity android:name="".FirstActivity"" android:label=""@string/app_name"">
    <intent-filter>
        <action android:name=""android.intent.action.MAIN"" />
        <category android:name=""android.intent.category.LAUNCHER"" />
    </intent-filter>
...
In java, the first method invoked is onCreate()",69,
,Advanced:iOS,"Make phone call
Send SMS text
Access accelerometer
Install application from App Store
Camera
Microphone
Some OpenGL ES
",65,
,Method:Android,(new T()).init(),71,
,Value Proposition:Android,Big market share,68,
,Main Concepts:Android,"Overview:

Apps are typically made up of Activities.

Entities:
Intent - 4 of them i.e. View, Edit, Search and Notify; its action can optionally include data

Activity - an activity is a single action with a UI that performs a specific function for the user

Service - an activity without a UI (for long running process)

(Broadcast) Receiver - receivers of intents for notifications (for short running process)

(Content) Provider",,
,Method With Parameters:Android,"new T(""ViewController1"", null)",72,
,Production Version:FiOSTV,1.9,168,
,Production Version:GoogleTV,GoogleTV Addon - API Level 12,167,
,Packaging:Android,AndroidManifest.xml,170,
,Foreground Notification:Android,Dialog Notification,174,
,Background Notification:Android,"String ns = Context.NOTIFICATION_SERVICE;
NotificationManager nm = (NotificationManager) getSystemService(ns);
nm.cancel(uid);  //clear the notification

Notification n = new Notification(icon, tickerText, when);
...
contentIntent = PendingIntent.getActivity(this, 0, notificationIntent, 0);
n.setLatestEventInfo(context, contentTitle, c
n.defaults = Notification.DEFAULT_ALL;
nm.notify(uid, n);

http://developer.android.com/guide/topics/ui/notifiers/notifications.html",,
,Application Context:PhoneGap,navigator,166,
,Search:Android,Search dialog and SearchView widget delivers search queries to a specific activity that performs searches,171,
,Flash Notification:Android,"Toast Notification can be invoked from anywhere, including from the Async task e.g.

private void ShowToast(String msg ) {
        Toast toast = Toast.makeText(Main.this, msg,
                 Toast.LENGTH_LONG);
        toast.setGravity(Gravity.TOP, 0, 0);
        toast.show(); //do not forget this, otherwise it will not appear!
}

http://bimbim.in/post/2011/03/21/Android-Creating-notification-using-Toast.apex",,
,Production Version:PhoneGap,1.0.0,165,
,Packaging:iOS,info.plist (Default),169,
,Display a View:iOS,"    [self presentModalViewController:_movieEditViewController animated:YES];
    _movieEditViewController.delegate = self;
    [self.view addSubview:_movieEditViewController.view];",251,
,Dismiss a View:iOS,"In the method say DONE button -

    [delegate didDismissModalView];

In the delegate (say the parent or caller view) -

- (void)didDismissModalView {
    // Dismiss the modal view controller
    [self dismissModalViewControllerAnimated:YES];
}",253,
,Display a View:Android,"    Intent intent = new Intent(SecondActivity.class);
    startActivity(intent);",252,
,Respond to UI Control:Android,"import android.view.View;
...
    Button button = (Button)findViewById(R.id.corky);
    // Register the onClick listener with the implementation above
    button.setOnClickListener(new View.OnClickListener() {
       public void onClick(View v) {
         // do something when the button is clicked
       }
    };",250,
,Background Notification:jQueryMobile,"$.mobile.loadingMessage = ""My custom message!"";",257,
,Clean URL:jQueryMobile,$.mobile.pushStateEnabled = true; (default),255,
,Pagination:jQueryMobile,pagination plugin,256,
